probe_id,blast_best_hit,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,,,
AF263101,Solyc01g009010.2.1,100,70,0,0,1,70,1323,1392,1.00E-30,130,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,"IPR004424, 4-diphosphocytidyl-2C-methyl-D-erythritol kinase","GO:0016114,GO:0016310"
AF320028,Solyc12g009470.1.1,100,70,0,0,1,70,768,837,1.00E-30,130,"Heme oxygenase 1, plant",,"GO:0004392,GO:0055114"
AF320029,Solyc04g079290.2.1,100,53,0,0,1,53,1256,1308,3.00E-21,99,"Heme oxygenase 2, plant",,"GO:0020037,GO:0055114"
AF331705,Solyc03g114340.2.1,98.57,70,1,0,1,70,641,710,5.00E-29,124,1-deoxy-D-xylulose-5-phosphate reductoisomerase,"IPR003821, 1-deoxy-D-xylulose 5-phosphate reductoisomerase","GO:0004412,GO:0008152,GO:0030604,GO:0055114"
AF385366,Solyc04g050930.2.1,100,70,0,0,1,70,1113,1182,1.00E-30,130,Violaxanthin de-epoxidase,,"GO:0005488,GO:0006810,GO:0009507,GO:0046422"
AF403178,Solyc10g078550.1.1,100,70,0,0,1,70,1167,1236,1.00E-30,130,Glutamate dehydrogenase,"IPR014362, Glutamate dehydrogenase","GO:0004353,GO:0008152,GO:0055114"
AF413573,Solyc11g018550.2.1,97.14,70,0,1,1,70,1173,1240,9.00E-27,117,Thylakoid-bound ascorbate peroxidase 6,,"GO:0004130,GO:0005247,GO:0016688,GO:0055114"
AF416727,Solyc10g081650.1.1,100,70,0,0,1,70,1659,1728,1.00E-30,130,"Carotenoid isomerase, chloroplastic",,"GO:0008033,GO:0016117,GO:0016491,GO:0046608"
AF500012,Solyc12g008350.1.1,100,70,0,0,1,70,427,496,1.00E-30,130,Ethylene-responsive transcription factor 4,"IPR001471, Pathogenesis-related transcriptional factor and ERF, DNA-binding","GO:0003677,GO:0006355"
AF506825,Solyc04g072900.1.1,100,70,0,0,1,70,715,784,1.00E-30,130,Ethylene responsive transcription factor 2b,"IPR001471, Pathogenesis-related transcriptional factor and ERF, DNA-binding","GO:0003677,GO:0005515,GO:0006355"
AJ001914,Solyc10g044670.1.1,100,44,0,0,1,44,3329,3372,3.00E-16,82.4,Phytochrome A,,"GO:0000160,GO:0005515,GO:0005524,GO:0006355,GO:0007165,GO:0009883,GO:0016020,GO:0018106,GO:0018298,GO:0042802,GO:0045449"
AJ002281,Solyc01g059870.2.1,100,70,0,0,1,70,3300,3369,1.00E-30,130,Phytochrome B1,,"GO:0005515,GO:0005524,GO:0006355,GO:0007165,GO:0009401,GO:0009883,GO:0016020,GO:0018106,GO:0018298,GO:0042802,GO:0045449"
AJ006414,Solyc05g005710.2.1,100,70,0,0,1,70,1159,1228,1.00E-30,130,Spermidine synthase,"IPR001045, Spermine synthase","GO:0003824,GO:0004766"
AJ224356,Solyc01g056340.2.1,100,70,0,0,1,70,1512,1581,1.00E-30,130,DET1-like protein,"IPR019138, De-etiolated protein 1, Det1",
AJ225049,Solyc03g007890.2.1,95.71,70,3,0,1,70,2524,2593,1.00E-25,113,Heat shock protein 90 (Fragment),"IPR003594, ATP-binding region, ATPase-like IPR003594, Heat shock protein Hsp90","GO:0005524,GO:0006950,GO:0042623"
AJ242551,Solyc10g086220.1.1,100,70,0,0,1,70,748,817,1.00E-30,130,Flavin oxidoreductase/NADH oxidase,"IPR001155, NADH:flavin oxidoreductase/NADH oxidase, N-terminal","GO:0008152,GO:0016491"
AJ306631,Solyc04g056600.2.1,100,70,0,0,1,70,1107,1176,1.00E-30,130,Sodium/hydrogen exchanger,"IPR018409, Na+/H+ exchanger, isoform 5/6/8, conserved region","GO:0015385,GO:0015386,GO:0016021"
AJ606077,Solyc08g061970.2.1,100,70,0,0,1,70,430,499,1.00E-30,130,Spermidine synthase,"IPR001045, Spermine synthase","GO:0003824,GO:0004766"
AY008278,Solyc01g099160.2.1,100,70,0,0,1,70,696,765,1.00E-30,130,Lipoxygenase,"IPR001246, Lipoxygenase, plant","GO:0016165,GO:0046872,GO:0055114"
AY166507,Solyc10g007500.2.1,100,70,0,0,1,70,1138,1207,1.00E-30,130,Mitogen activated protein kinase 20-1,"IPR002290, Serine/threonine protein kinase",GO:0006468
AY335900,Solyc03g007240.2.1,100,70,0,0,1,70,1382,1451,1.00E-30,130,Spermidine synthase 1,"IPR001045, Spermine synthase","GO:0003824,GO:0004766"
AY423549,Solyc05g052620.2.1,100,70,0,0,1,70,1956,2025,1.00E-30,130,Coronatine-insensitive 1 (Fragment),,"GO:0004842,GO:0005515"
AY547273,Solyc09g082690.2.1,100,70,0,0,1,70,1313,1382,1.00E-30,130,Early light-induced protein 7,,GO:0016168
AY576001,Solyc01g087250.2.1,100,70,0,0,1,70,1523,1592,1.00E-30,130,Carotenoid cleavage dioxygenase 1A,,GO:0045549
AY576002,Solyc01g087260.2.1,100,70,0,0,1,70,2836,2905,1.00E-30,130,Carotenoid cleavage dioxygenase 1B,,GO:0045549
AY656837,Solyc01g091160.2.1,100,70,0,0,1,70,1040,1109,1.00E-30,130,Agmatinase,"IPR006035, Ureohydrolase",GO:0046872
BT012820,Solyc03g122360.2.1,98.57,70,1,0,1,70,1072,1141,5.00E-29,124,Cytochrome P450,,"GO:0004508,GO:0020037,GO:0055114"
BT012912,Solyc10g005080.2.1,100,70,0,0,1,70,2518,2587,1.00E-30,130,Late elongated hypocotyl and circadian clock associated-1-like,,"GO:0003700,GO:0005515"
BT013765,Solyc06g076360.2.1,100,70,0,0,1,70,259,328,1.00E-30,130,Outer envelope membrane protein,"IPR005689, Chloroplast envelope protein translocase, IAP75","GO:0006886,GO:0019867"
BT014283,Solyc02g071620.2.1,100,70,0,0,1,70,30,99,1.00E-30,130,GDSL esterase/lipase At1g29670,"IPR001087, Lipase, GDSL","GO:0004091,GO:0006629"
BT014484,Solyc09g092480.1.1,98.57,70,1,0,1,70,726,795,5.00E-29,124,UDP-glucosyltransferase family 1 protein,"IPR002213, UDP-glucuronosyl/UDP-glucosyltransferase","GO:0008152,GO:0080018"
L08830,Solyc08g082820.2.1,100,70,0,0,1,70,707,776,1.00E-30,130,Heat shock protein,"IPR013126, Heat shock protein 70","GO:0005524,GO:0042623,GO:0051787"
L13654,Solyc07g052510.2.1,97.18,71,0,2,1,70,443,512,2.00E-27,119,Peroxidase,"IPR002016, Haem peroxidase, plant/fungal/bacterial","GO:0004601,GO:0005515,GO:0055114"
L16582,Solyc01g110430.2.1,98.59,71,0,1,1,70,570,500,5.00E-29,124,Unknown Protein,,
L23424,Solyc02g081330.2.1,100,70,0,0,1,70,937,1006,1.00E-30,130,Phytoene synthase 2,,"GO:0009058,GO:0016765,GO:0016767,GO:0046905"
L24016,Solyc01g068210.2.1,97.18,71,0,2,1,70,1166,1097,2.00E-27,119,Glutamate dehydrogenase,"IPR006095, Glutamate/phenylalanine/leucine/valine dehydrogenase","GO:0008152,GO:0055114"
L31367,Solyc08g069030.2.1,98.57,70,1,0,1,70,936,1005,5.00E-29,124,Delta-aminolevulinic acid dehydratase,"IPR001731, Tetrapyrrole biosynthesis, porphobilinogen synthase","GO:0004655,GO:0008152,GO:0033014,GO:0042802"
L39279,Solyc04g009200.2.1,95.89,73,0,1,1,70,153,225,3.00E-26,115,Glutamate-1-semialdehyde-2 1-aminomutase,"IPR004639, Tetrapyrrole biosynthesis, glutamate-1-semialdehyde aminotransferase","GO:0005515,GO:0030170,GO:0033014,GO:0042286"
M13938,Solyc09g084470.2.1,100,70,0,0,1,70,267,336,1.00E-30,130,Proteinase inhibitor I,"IPR000864, Proteinase inhibitor I13, potato inhibitor I",GO:0009611
M14443,Solyc02g071020.2.1,92.11,76,0,6,1,70,92,17,2.00E-22,102,Unknown Protein,,
M32606,Solyc01g105050.2.1,100,70,0,0,1,70,790,859,1.00E-30,130,"Chlorophyll a-b binding protein, chloroplastic","IPR001344, Chlorophyll A-B binding protein","GO:0016020,GO:0016168"
M37150,Solyc01g067740.2.1,98.59,71,0,1,1,70,733,803,5.00E-29,124,Superoxide dismutase,"IPR001424, Superoxide dismutase, copper/zinc binding","GO:0004784,GO:0055114"
M37151,Solyc11g066390.1.1,98.57,70,1,0,1,70,229,298,5.00E-29,124,Superoxide dismutase,"IPR018152, Superoxide dismutase, copper/zinc, binding site",GO:0055114
M84744,Solyc03g031860.2.1,100,70,0,0,1,70,1545,1614,1.00E-30,130,Phytoene synthase 1,,"GO:0009058,GO:0016765,GO:0016767,GO:0046905"
M84800,Solyc05g051750.2.1,100,70,0,0,1,70,553,622,1.00E-30,130,Prosystemin,"IPR009966, Prosystemin",
SGN-U212546,Solyc01g094950.2.1,100,70,0,0,1,70,1118,1187,1.00E-30,130,"Protein BPS1, chloroplastic",,
SGN-U212547,Solyc02g083810.2.1,93.33,75,0,1,1,70,716,790,2.00E-23,106,Ferredoxin--NADP reductase,"IPR012146, Ferredoxin--NADP reductase","GO:0003959,GO:0042651,GO:0055114"
SGN-U212549,Solyc11g011920.1.1,98.46,65,1,0,6,70,610,546,3.00E-26,115,Glutamate decarboxylase,"IPR010107, Glutamate decarboxylase","GO:0006536,GO:0019752,GO:0030170"
SGN-U212550,Solyc06g084360.2.1,100,70,0,0,1,70,1136,1067,1.00E-30,130,Baculoviral IAP repeat-containing protein 3,"IPR001841, Zinc finger, RING-type",GO:0008270
SGN-U212551,Solyc09g097770.2.1,97.73,44,1,0,1,44,196,153,1.00E-14,76.8,Cell wall protein,"IPR010800, Glycine rich",
SGN-U212554,Solyc10g007980.2.1,100,70,0,0,1,70,131,200,1.00E-30,130,50S ribosomal protein L5,"IPR002132, Ribosomal protein L5","GO:0003735,GO:0005840"
SGN-U212556,Solyc06g084360.2.1,100,70,0,0,1,70,469,538,1.00E-30,130,Baculoviral IAP repeat-containing protein 3,"IPR001841, Zinc finger, RING-type",GO:0008270
SGN-U212557,Solyc05g054050.2.1,100,70,0,0,1,70,1311,1380,1.00E-30,130,Glutamate decarboxylase,"IPR010107, Glutamate decarboxylase","GO:0004351,GO:0005516,GO:0006536,GO:0019752,GO:0030170"
SGN-U212559,Solyc01g005000.2.1,100,70,0,0,1,70,1369,1438,1.00E-30,130,Glutamate decarboxylase,"IPR010107, Glutamate decarboxylase","GO:0006536,GO:0019752,GO:0030170"
SGN-U212560,Solyc04g025530.2.1,100,70,0,0,1,70,98,167,1.00E-30,130,Glutamate decarboxylase,"IPR010107, Glutamate decarboxylase","GO:0004351,GO:0005516,GO:0006536,GO:0019752,GO:0030170"
SGN-U212561,Solyc11g011920.1.1,100,70,0,0,1,70,1383,1452,1.00E-30,130,Glutamate decarboxylase,"IPR010107, Glutamate decarboxylase","GO:0006536,GO:0019752,GO:0030170"
SGN-U212562,Solyc11g011920.1.1,100,70,0,0,1,70,314,383,1.00E-30,130,Glutamate decarboxylase,"IPR010107, Glutamate decarboxylase","GO:0006536,GO:0019752,GO:0030170"
SGN-U212563,Solyc04g025530.2.1,100,70,0,0,1,70,1488,1419,1.00E-30,130,Glutamate decarboxylase,"IPR010107, Glutamate decarboxylase","GO:0004351,GO:0005516,GO:0006536,GO:0019752,GO:0030170"
SGN-U212564,Solyc01g110360.2.1,100,70,0,0,1,70,1330,1399,1.00E-30,130,Fructose-bisphosphate aldolase,"IPR000741, Fructose-bisphosphate aldolase, class-I","GO:0005507,GO:0006096,GO:0008152"
SGN-U212565,Solyc08g081190.2.1,100,50,0,0,1,50,180,229,9.00E-20,93.5,Aquaporin 1,"IPR012269, Aquaporin","GO:0015250,GO:0016020,GO:0016021"
SGN-U212566,Solyc08g008050.2.1,100,70,0,0,1,70,862,931,1.00E-30,130,Aquaporin,"IPR012269, Aquaporin","GO:0015250,GO:0016020,GO:0016021"
SGN-U212568,Solyc08g081190.2.1,100,70,0,0,1,70,241,172,1.00E-30,130,Aquaporin 1,"IPR012269, Aquaporin","GO:0015250,GO:0016020,GO:0016021"
SGN-U212569,Solyc12g008720.1.1,100,70,0,0,1,70,242,173,1.00E-30,130,60S ribosomal protein L31,"IPR000054, Ribosomal protein L31e",GO:0005840
SGN-U212570,Solyc06g066640.2.1,100,70,0,0,1,70,40,109,1.00E-30,130,"Photosystem I reaction center subunit VI-1, chloroplastic","IPR004928, Photosystem I reaction centre subunit VI",GO:0009538
SGN-U212571,Solyc01g065550.2.1,100,70,0,0,1,70,658,727,1.00E-30,130,Protein DEHYDRATION-INDUCED 19 homolog 4,"IPR008598, Drought induced 19",GO:0005515
SGN-U212572,Solyc01g080330.2.1,100,70,0,0,1,70,832,901,1.00E-30,130,Transmembrane BAX inhibitor motif-containing protein 4,"IPR006214, Uncharacterised protein family UPF0005","GO:0005102,GO:0016595"
SGN-U212573,Solyc12g044280.1.1,100,51,0,0,20,70,1,51,4.00E-20,95.3,"Photosystem I reaction center subunit VI, chloroplastic","IPR004928, Photosystem I reaction centre subunit VI",GO:0009538
SGN-U212574,Solyc01g110360.2.1,100,70,0,0,1,70,904,835,1.00E-30,130,Fructose-bisphosphate aldolase,"IPR000741, Fructose-bisphosphate aldolase, class-I","GO:0005507,GO:0006096,GO:0008152"
SGN-U212575,Solyc05g008010.2.1,100,50,0,0,1,50,386,435,9.00E-20,93.5,60S ribosomal protein L31,"IPR000054, Ribosomal protein L31e",GO:0005840
SGN-U212578,Solyc08g005770.2.1,100,70,0,0,1,70,1510,1579,1.00E-30,130,Alcohol acetyltransferase,"IPR003480, Transferase","GO:0010327,GO:0016747"
SGN-U212583,Solyc08g006900.2.1,100,57,0,0,14,70,717,773,2.00E-23,106,Ribosomal protein L32,"IPR001515, Ribosomal protein L32e",GO:0005840
SGN-U212586,Solyc07g042490.1.1,100,70,0,0,1,70,250,181,1.00E-30,130,SAUR33-auxin-responsive SAUR family member,"IPR003676, Auxin responsive SAUR protein",
SGN-U212587,Solyc06g073890.2.1,100,70,0,0,1,70,106,37,1.00E-30,130,Zinc finger RING-type,,
SGN-U212592,Solyc08g066260.2.1,100,50,0,0,1,50,809,858,9.00E-20,93.5,Histidine decarboxylase,"IPR002129, Pyridoxal phosphate-dependent decarboxylase","GO:0019752,GO:0030170"
SGN-U212594,Solyc08g066220.2.1,98.57,70,1,0,1,70,689,758,5.00E-29,124,Decarboxylase family protein,"IPR002129, Pyridoxal phosphate-dependent decarboxylase","GO:0019752,GO:0030170"
SGN-U212595,Solyc08g066240.2.1,100,70,0,0,1,70,1297,1366,1.00E-30,130,Decarboxylase family protein,"IPR002129, Pyridoxal phosphate-dependent decarboxylase","GO:0019752,GO:0030170"
SGN-U212596,Solyc06g071230.2.1,100,70,0,0,1,70,1384,1453,1.00E-30,130,MYB transcription factor,"IPR017930, Myb-type HTH DNA-binding domain","GO:0003677,GO:0003700"
SGN-U212597,Solyc03g113620.2.1,100,41,0,0,1,41,767,807,1.00E-14,76.8,MYB transcription factor,"IPR006447, Myb-like DNA-binding region, SHAQKYF class","GO:0003677,GO:0003700,GO:0003824"
SGN-U212598,Solyc06g071230.2.1,98,50,1,0,1,50,940,989,4.00E-18,87.9,MYB transcription factor,"IPR017930, Myb-type HTH DNA-binding domain","GO:0003677,GO:0003700"
SGN-U212601,Solyc01g087780.2.1,100,70,0,0,1,70,2597,2528,1.00E-30,130,Subtilisin-like protease,"IPR015500, Peptidase S8, subtilisin-related IPR015500, Peptidase S8 and S53, subtilisin, kexin, sedolisin","GO:0006508,GO:0043086"
SGN-U212603,Solyc01g087780.2.1,98.57,70,1,0,1,70,913,982,5.00E-29,124,Subtilisin-like protease,"IPR015500, Peptidase S8, subtilisin-related IPR015500, Peptidase S8 and S53, subtilisin, kexin, sedolisin","GO:0006508,GO:0043086"
SGN-U212604,Solyc01g087850.2.1,100,70,0,0,1,70,2777,2846,1.00E-30,130,Subtilisin-like protease,"IPR015500, Peptidase S8, subtilisin-related IPR015500, Peptidase S8 and S53, subtilisin, kexin, sedolisin","GO:0006508,GO:0043086"
SGN-U212605,Solyc03g119080.2.1,100,70,0,0,1,70,1119,1188,1.00E-30,130,Beta-glucosidase,"IPR001360, Glycoside hydrolase, family 1","GO:0005975,GO:0080083"
SGN-U212607,Solyc07g006380.2.1,100,47,0,0,24,70,64,110,7.00E-18,87.9,Defensin-like protein,"IPR008177, Gamma Purothionin",GO:0006952
SGN-U212610,Solyc02g032910.1.1,100,70,0,0,1,70,401,332,1.00E-30,130,Glycine rich protein,,
SGN-U212614,Solyc05g012020.2.1,100,70,0,0,1,70,777,846,1.00E-30,130,MADS-box transcription factor MADS-MC,"IPR002487, Transcription factor, K-box","GO:0003700,GO:0005634,GO:0046982"
SGN-U212615,Solyc08g066250.2.1,100,70,0,0,1,70,1264,1333,1.00E-30,130,Decarboxylase family protein,"IPR002129, Pyridoxal phosphate-dependent decarboxylase","GO:0019752,GO:0030170"
SGN-U212616,Solyc06g005910.2.1,100,51,0,0,1,51,1389,1439,4.00E-20,95.3,Tubulin beta chain,"IPR002453, Beta tubulin","GO:0005200,GO:0005874,GO:0043234"
SGN-U212618,Solyc10g086760.1.1,100,70,0,0,1,70,1275,1344,1.00E-30,130,Tubulin beta chain,"IPR002453, Beta tubulin","GO:0005874,GO:0043234"
SGN-U212620,Solyc03g025730.2.1,100,54,0,0,1,54,3063,3116,9.00E-22,100,Tubulin beta chain,"IPR002453, Beta tubulin","GO:0005200,GO:0005874,GO:0043234"
SGN-U212621,Solyc03g025720.2.1,100,70,0,0,1,70,1032,1101,1.00E-30,130,Long-chain-fatty-acid--CoA ligase,"IPR000873, AMP-dependent synthetase and ligase","GO:0004467,GO:0008152"
SGN-U212622,Solyc06g035970.2.1,100,70,0,0,1,70,1497,1566,1.00E-30,130,Tubulin beta chain,"IPR002453, Beta tubulin","GO:0005200,GO:0005874,GO:0043234"
SGN-U212623,Solyc06g035970.2.1,100,70,0,0,1,70,404,335,1.00E-30,130,Tubulin beta chain,"IPR002453, Beta tubulin","GO:0005200,GO:0005874,GO:0043234"
SGN-U212624,Solyc06g076630.2.1,100,70,0,0,1,70,194,263,1.00E-30,130,Peroxidase,"IPR002016, Haem peroxidase, plant/fungal/bacterial","GO:0004601,GO:0055114"
SGN-U212626,Solyc04g080280.2.1,100,70,0,0,1,70,1266,1335,1.00E-30,130,Unknown Protein,,
SGN-U212630,Solyc10g006070.2.1,100,70,0,0,1,70,354,423,1.00E-30,130,40S ribosomal protein S8,"IPR001047, Ribosomal protein S8e","GO:0003735,GO:0005515,GO:0005840"
SGN-U212631,Solyc05g007780.2.1,100,50,0,0,1,50,185,234,9.00E-20,93.5,Oxygen evolving enhancer protein 3,"IPR008797, Photosystem II oxygen evolving complex protein PsbQ",GO:0019898
SGN-U212634,Solyc05g010420.1.1,100,70,0,0,1,70,773,842,1.00E-30,130,S-adenosylmethionine decarboxylase proenzyme,"IPR018167, S-adenosylmethionine decarboxylase subgroup IPR018167, S-adenosylmethionine decarboxylase","GO:0004014,GO:0008295"
SGN-U212639,Solyc12g015880.1.1,100,43,0,0,8,50,1641,1683,7.00E-16,80.5,Heat shock protein 90,"IPR019805, Heat shock protein Hsp90, conserved site IPR019805, EF-HAND 2 IPR019805, Heat shock protein Hsp90","GO:0005524,GO:0006950"
SGN-U212641,Solyc07g065840.2.1,100,70,0,0,1,70,419,350,1.00E-30,130,Heat shock protein 90,"IPR003594, ATP-binding region, ATPase-like IPR003594, Heat shock protein Hsp90","GO:0005524,GO:0006950,GO:0042623"
SGN-U212643,Solyc12g015880.1.1,100,42,0,0,1,42,2059,2100,4.00E-15,78.7,Heat shock protein 90,"IPR019805, Heat shock protein Hsp90, conserved site IPR019805, EF-HAND 2 IPR019805, Heat shock protein Hsp90","GO:0005524,GO:0006950"
SGN-U212644,Solyc08g081580.2.1,100,70,0,0,1,70,618,687,1.00E-30,130,Pin2-interacting protein X1,"IPR000467, D111/G-patch",GO:0005622
SGN-U212647,Solyc08g006890.2.1,100,50,0,0,1,50,319,368,9.00E-20,93.5,Tubulin alpha-3 chain,"IPR002452, Alpha tubulin","GO:0005200,GO:0005874,GO:0043234,GO:0046982"
SGN-U212648,Solyc04g077020.2.1,100,70,0,0,1,70,1400,1469,1.00E-30,130,Tubulin alpha-3 chain,"IPR002452, Alpha tubulin","GO:0005200,GO:0005874,GO:0043234,GO:0046982"
SGN-U212650,Solyc12g010020.1.1,100,70,0,0,1,70,181,250,1.00E-30,130,Leucyl aminopeptidase,"IPR011356, Peptidase M17, leucyl aminopeptidase","GO:0005622,GO:0005737"
SGN-U212651,Solyc06g082670.2.1,100,50,0,0,1,50,347,396,9.00E-20,93.5,Ribosomal protein L10,"IPR001197, Ribosomal protein L10e","GO:0003735,GO:0005515,GO:0005840"
SGN-U212652,Solyc12g010040.1.1,100,70,0,0,1,70,1588,1657,1.00E-30,130,Leucyl aminopeptidase,"IPR011356, Peptidase M17, leucyl aminopeptidase IPR011356, Peptidase M17, leucyl aminopeptidase, C-terminal","GO:0003779,GO:0005622,GO:0005737"
SGN-U212653,Solyc11g006460.1.1,100,70,0,0,1,70,1029,1098,1.00E-30,130,DNAJ chaperone,"IPR003095, Heat shock protein DnaJ","GO:0006457,GO:0031072"
SGN-U212655,Solyc05g055160.2.1,100,70,0,0,1,70,1193,1262,1.00E-30,130,DNAJ chaperone,"IPR003095, Heat shock protein DnaJ","GO:0006457,GO:0031072,GO:0050750"
SGN-U212657,Solyc05g055160.2.1,95.45,44,2,0,1,44,231,188,7.00E-13,71.3,DNAJ chaperone,"IPR003095, Heat shock protein DnaJ","GO:0006457,GO:0031072,GO:0050750"
SGN-U212660,Solyc07g066310.2.1,100,50,0,0,1,50,426,475,9.00E-20,93.5,photosystem II polypeptide,"IPR006814, Photosystem II protein PsbR",GO:0042651
SGN-U212663,Solyc07g049720.2.1,100,70,0,0,1,70,2223,2292,1.00E-30,130,DNA topoisomerase I,"IPR013499, DNA topoisomerase I, C-terminal, eukaryotic-type","GO:0003677,GO:0003917,GO:0005694,GO:0006265"
SGN-U212665,Solyc07g065410.1.1,100,70,0,0,1,70,157,226,1.00E-30,130,Unknown Protein,,
SGN-U212666,Solyc02g087250.2.1,100,70,0,0,1,70,311,380,1.00E-30,130,Group II intron splicing factor CRS1-like,"IPR001890, RNA-binding, CRM domain","GO:0003723,GO:0010181"
SGN-U212668,Solyc04g081090.2.1,100,70,0,0,1,70,582,651,1.00E-30,130,V-type proton ATPase 16 kDa proteolipid subunit c2,"IPR011555, ATPase, V0 complex, proteolipid subunit C, eukaryotic","GO:0033177,GO:0033179,GO:0046961"
SGN-U212669,Solyc10g006480.1.1,100,70,0,0,1,70,1088,1157,1.00E-30,130,Ubiquitin,"IPR019956, Ubiquitin subgroup",GO:0043008
SGN-U212677,Solyc07g064130.1.1,100,50,0,0,1,50,929,978,9.00E-20,93.5,Ubiquitin,"IPR019956, Ubiquitin subgroup","GO:0031386,GO:0043008"
SGN-U212678,Solyc01g056940.2.1,100,69,0,0,1,69,543,611,4.00E-30,128,Ubiquitin,"IPR019956, Ubiquitin subgroup","GO:0005515,GO:0005840"
SGN-U212679,Solyc07g064130.1.1,100,44,0,0,27,70,1,44,3.00E-16,82.4,Ubiquitin,"IPR019956, Ubiquitin subgroup","GO:0031386,GO:0043008"
SGN-U212682,Solyc06g035450.2.1,100,70,0,0,1,70,595,664,1.00E-30,130,ATP-dependent RNA helicase,"IPR011545, DNA/RNA helicase, DEAD/DEAH box type, N-terminal","GO:0004004,GO:0005576,GO:0008026"
SGN-U212683,Solyc03g119130.2.1,100,70,0,0,1,70,2009,1940,1.00E-30,130,Histone H1,"IPR005818, Histone H1/H5","GO:0003677,GO:0005634"
SGN-U212684,Solyc04g078290.2.1,100,70,0,0,1,70,1428,1497,1.00E-30,130,Cytochrome P450,,"GO:0019825,GO:0020037,GO:0055114"
SGN-U212686,Solyc03g119130.2.1,100,70,0,0,1,70,1467,1536,1.00E-30,130,Histone H1,"IPR005818, Histone H1/H5","GO:0003677,GO:0005634"
SGN-U212687,Solyc12g094620.1.1,100,70,0,0,1,70,943,1012,1.00E-30,130,Catalase,"IPR018028, Catalase related subgroup",GO:0055114
SGN-U212688,Solyc10g055470.1.1,100,70,0,0,1,70,1930,1999,1.00E-30,130,Beta-galactosidase,"IPR001944, Glycoside hydrolase, family 35","GO:0004565,GO:0005515,GO:0005529,GO:0005975"
SGN-U212689,Solyc01g005510.2.1,95.71,70,3,0,1,70,996,1065,1.00E-25,113,Laccase-2,"IPR011707, Multicopper oxidase, type 3",GO:0055114
SGN-U212690,Solyc02g076860.2.1,97.14,70,2,0,1,70,252,321,2.00E-27,119,Pollen allergen Phl p 11,"IPR006041, Pollen Ole e 1 allergen and extensin",GO:0005615
SGN-U212691,Solyc01g056310.2.1,98.57,70,1,0,1,70,1225,1156,5.00E-29,124,Laccase-2,"IPR011707, Multicopper oxidase, type 3",GO:0055114
SGN-U212692,Solyc01g056310.2.1,100,70,0,0,1,70,1587,1656,1.00E-30,130,Laccase-2,"IPR011707, Multicopper oxidase, type 3",GO:0055114
SGN-U212693,Solyc01g056310.2.1,100,68,0,0,1,68,1743,1810,1.00E-29,126,Laccase-2,"IPR011707, Multicopper oxidase, type 3",GO:0055114
SGN-U212694,Solyc01g056310.2.1,98.57,70,1,0,1,70,777,846,5.00E-29,124,Laccase-2,"IPR011707, Multicopper oxidase, type 3",GO:0055114
